Nome da IA;Data do Teste;Categoria do Teste;Subcategoria;Prompt (Pergunta);ID do Teste;Resposta da IA;Tempo de Resposta (s);Pontuação (0-10)
Manus;;Diagnóstico Diferencial;Cardiologia;Paciente masculino, 55 anos, dor torácica opressiva irradiando para braço esquerdo, sudorese profusa. ECG mostra supra de ST em V1-V4. Qual o diagnóstico e conduta imediata?;SAU_001;;;
Chat.Z.Ai;;Diagnóstico Diferencial;Cardiologia;Paciente masculino, 55 anos, dor torácica opressiva irradiando para braço esquerdo, sudorese profusa. ECG mostra supra de ST em V1-V4. Qual o diagnóstico e conduta imediata?;SAU_001;;;
Claude 3.5;;Diagnóstico Diferencial;Cardiologia;Paciente masculino, 55 anos, dor torácica opressiva irradiando para braço esquerdo, sudorese profusa. ECG mostra supra de ST em V1-V4. Qual o diagnóstico e conduta imediata?;SAU_001;;;
Grok 2;;Diagnóstico Diferencial;Cardiologia;Paciente masculino, 55 anos, dor torácica opressiva irradiando para braço esquerdo, sudorese profusa. ECG mostra supra de ST em V1-V4. Qual o diagnóstico e conduta imediata?;SAU_001;;;
Perplexity;;Diagnóstico Diferencial;Cardiologia;Paciente masculino, 55 anos, dor torácica opressiva irradiando para braço esquerdo, sudorese profusa. ECG mostra supra de ST em V1-V4. Qual o diagnóstico e conduta imediata?;SAU_001;;;
DeepSeek R1;;Diagnóstico Diferencial;Cardiologia;Paciente masculino, 55 anos, dor torácica opressiva irradiando para braço esquerdo, sudorese profusa. ECG mostra supra de ST em V1-V4. Qual o diagnóstico e conduta imediata?;SAU_001;;;
;;;;;;;;
Manus;;Interações Medicamentosas;Farmacologia;Quais as principais interações medicamentosas entre varfarina e antibióticos da classe dos macrolídeos?;SAU_002;;;
Chat.Z.Ai;;Interações Medicamentosas;Farmacologia;Quais as principais interações medicamentosas entre varfarina e antibióticos da classe dos macrolídeos?;SAU_002;;;
Claude 3.5;;Interações Medicamentosas;Farmacologia;Quais as principais interações medicamentosas entre varfarina e antibióticos da classe dos macrolídeos?;SAU_002;;;
Grok 2;;Interações Medicamentosas;Farmacologia;Quais as principais interações medicamentosas entre varfarina e antibióticos da classe dos macrolídeos?;SAU_002;;;
Perplexity;;Interações Medicamentosas;Farmacologia;Quais as principais interações medicamentosas entre varfarina e antibióticos da classe dos macrolídeos?;SAU_002;;;
DeepSeek R1;;Interações Medicamentosas;Farmacologia;Quais as principais interações medicamentosas entre varfarina e antibióticos da classe dos macrolídeos?;SAU_002;;;
;;;;;;;;
Manus;;Educação do Paciente;Diabetes Mellitus;Crie um guia simplificado de 5 pontos para um paciente recém-diagnosticado com Diabetes Tipo 2 sobre cuidados com os pés.;SAU_003;;;
Chat.Z.Ai;;Educação do Paciente;Diabetes Mellitus;Crie um guia simplificado de 5 pontos para um paciente recém-diagnosticado com Diabetes Tipo 2 sobre cuidados com os pés.;SAU_003;;;
Claude 3.5;;Educação do Paciente;Diabetes Mellitus;Crie um guia simplificado de 5 pontos para um paciente recém-diagnosticado com Diabetes Tipo 2 sobre cuidados com os pés.;SAU_003;;;
Grok 2;;Educação do Paciente;Diabetes Mellitus;Crie um guia simplificado de 5 pontos para um paciente recém-diagnosticado com Diabetes Tipo 2 sobre cuidados com os pés.;SAU_003;;;
Perplexity;;Educação do Paciente;Diabetes Mellitus;Crie um guia simplificado de 5 pontos para um paciente recém-diagnosticado com Diabetes Tipo 2 sobre cuidados com os pés.;SAU_003;;;
DeepSeek R1;;Educação do Paciente;Diabetes Mellitus;Crie um guia simplificado de 5 pontos para um paciente recém-diagnosticado com Diabetes Tipo 2 sobre cuidados com os pés.;SAU_003;;;
;;;;;;;;
Manus;;Revisão de Literatura;Oncologia;Resuma os principais achados do estudo 'CheckMate 067' sobre o tratamento de melanoma avançado.;SAU_004;;;
Chat.Z.Ai;;Revisão de Literatura;Oncologia;Resuma os principais achados do estudo 'CheckMate 067' sobre o tratamento de melanoma avançado.;SAU_004;;;
